Success 1: checkpoint_epoch_1_20250320_171718: Pat 6, 40 Epochs, .0001 LR, 32 Batch Size, 4 Layers, .3 Dropout, 16-128 Conv, 2 Linear 128-256, Fold 1:

Epoch [14/50], Train Loss: 0.3986, Train Acc: 83.93%, Val Loss: 0.4008, Val Acc: 83.37%
Epoch [15/50], Train Loss: 0.3754, Train Acc: 85.16%, Val Loss: 0.3891, Val Acc: 83.97%
Epoch [16/50], Train Loss: 0.3655, Train Acc: 85.49%, Val Loss: 0.3583, Val Acc: 85.41%
Epoch [17/50], Train Loss: 0.3568, Train Acc: 86.08%, Val Loss: 0.3532, Val Acc: 86.24%
Epoch [18/50], Train Loss: 0.3518, Train Acc: 86.30%, Val Loss: 0.3471, Val Acc: 85.78%
Epoch [19/50], Train Loss: 0.3450, Train Acc: 86.43%, Val Loss: 0.3496, Val Acc: 85.07%
Epoch [20/50], Train Loss: 0.3515, Train Acc: 85.80%, Val Loss: 0.3347, Val Acc: 86.51%
Epoch [21/50], Train Loss: 0.3330, Train Acc: 86.81%, Val Loss: 0.3285, Val Acc: 86.71%
Epoch [22/50], Train Loss: 0.3277, Train Acc: 87.39%, Val Loss: 0.3173, Val Acc: 87.55%
Epoch [23/50], Train Loss: 0.3320, Train Acc: 86.90%, Val Loss: 0.3247, Val Acc: 87.01%
Epoch [24/50], Train Loss: 0.3288, Train Acc: 87.11%, Val Loss: 0.3347, Val Acc: 86.41%
Epoch [25/50], Train Loss: 0.3295, Train Acc: 86.70%, Val Loss: 0.3075, Val Acc: 88.02%
Epoch [26/50], Train Loss: 0.3265, Train Acc: 87.25%, Val Loss: 0.2992, Val Acc: 88.72%
Epoch [27/50], Train Loss: 0.3185, Train Acc: 87.52%, Val Loss: 0.3366, Val Acc: 86.61%
Epoch [28/50], Train Loss: 0.3233, Train Acc: 87.35%, Val Loss: 0.3182, Val Acc: 87.75%
Epoch [29/50], Train Loss: 0.3279, Train Acc: 87.42%, Val Loss: 0.3149, Val Acc: 87.95%
