checkpoint_epoch_34_20250321_144646: Dropout to .3, 7 CONV layers, reduced augmentation percentiles to 10% from 15-20, weight decay to 1e-5 instead of 1e-4, patience 5:
Epoch [21/50], Train Loss: 0.0900, Train Acc: 96.56%, Val Loss: 0.0839, Val Acc: 96.75%
Epoch [22/50], Train Loss: 0.0858, Train Acc: 96.97%, Val Loss: 0.0896, Val Acc: 96.32%
Epoch [23/50], Train Loss: 0.0877, Train Acc: 96.62%, Val Loss: 0.0917, Val Acc: 96.49%
Epoch [24/50], Train Loss: 0.0798, Train Acc: 96.86%, Val Loss: 0.0939, Val Acc: 96.82%
Epoch [25/50], Train Loss: 0.0834, Train Acc: 96.94%, Val Loss: 0.0784, Val Acc: 96.99%
Epoch [26/50], Train Loss: 0.0758, Train Acc: 97.17%, Val Loss: 0.0718, Val Acc: 97.42%
Epoch [27/50], Train Loss: 0.0756, Train Acc: 97.19%, Val Loss: 0.0838, Val Acc: 96.75%
Epoch [28/50], Train Loss: 0.0834, Train Acc: 96.81%, Val Loss: 0.0872, Val Acc: 96.59%
Epoch [29/50], Train Loss: 0.0731, Train Acc: 97.33%, Val Loss: 0.0830, Val Acc: 96.95%
Epoch [30/50], Train Loss: 0.0762, Train Acc: 97.18%, Val Loss: 0.0681, Val Acc: 97.52%
Epoch [31/50], Train Loss: 0.0768, Train Acc: 97.14%, Val Loss: 0.0753, Val Acc: 97.09%
Epoch [32/50], Train Loss: 0.0802, Train Acc: 96.83%, Val Loss: 0.0705, Val Acc: 97.36%
Epoch [33/50], Train Loss: 0.0734, Train Acc: 97.31%, Val Loss: 0.0716, Val Acc: 97.69%
Epoch [34/50], Train Loss: 0.0763, Train Acc: 97.15%, Val Loss: 0.0716, Val Acc: 97.49%
Epoch [35/50], Train Loss: 0.0746, Train Acc: 97.18%, Val Loss: 0.0783, Val Acc: 97.22%
Early stopping triggered.
Training on fold 3/5...
Epoch [1/50], Train Loss: 0.9037, Train Acc: 54.77%, Val Loss: 0.6291, Val Acc: 71.25%
Epoch [2/50], Train Loss: 0.5716, Train Acc: 74.91%, Val Loss: 0.4608, Val Acc: 79.89%
Epoch [3/50], Train Loss: 0.4369, Train Acc: 81.75%, Val Loss: 0.3904, Val Acc: 82.46%
Epoch [4/50], Train Loss: 0.3472, Train Acc: 86.29%, Val Loss: 0.3404, Val Acc: 86.31%
Epoch [5/50], Train Loss: 0.2978, Train Acc: 87.81%, Val Loss: 0.2398, Val Acc: 90.33%
Epoch [6/50], Train Loss: 0.2262, Train Acc: 91.00%, Val Loss: 0.1961, Val Acc: 92.50%
Epoch [7/50], Train Loss: 0.2023, Train Acc: 92.13%, Val Loss: 0.2268, Val Acc: 90.90%
Epoch [8/50], Train Loss: 0.1972, Train Acc: 92.00%, Val Loss: 0.1635, Val Acc: 93.67%
Epoch [9/50], Train Loss: 0.1885, Train Acc: 92.36%, Val Loss: 0.1570, Val Acc: 93.61%
Epoch [10/50], Train Loss: 0.1767, Train Acc: 93.14%, Val Loss: 0.1528, Val Acc: 94.18%
Epoch [11/50], Train Loss: 0.1420, Train Acc: 94.53%, Val Loss: 0.1300, Val Acc: 94.81%
Epoch [12/50], Train Loss: 0.1223, Train Acc: 95.29%, Val Loss: 0.1301, Val Acc: 94.75%
Epoch [13/50], Train Loss: 0.1302, Train Acc: 95.11%, Val Loss: 0.1270, Val Acc: 95.15%
Epoch [14/50], Train Loss: 0.1202, Train Acc: 95.46%, Val Loss: 0.1093, Val Acc: 95.65%
Epoch [15/50], Train Loss: 0.1143, Train Acc: 95.75%, Val Loss: 0.0906, Val Acc: 96.69%
Epoch [16/50], Train Loss: 0.1068, Train Acc: 95.96%, Val Loss: 0.0870, Val Acc: 96.45%
Epoch [17/50], Train Loss: 0.1034, Train Acc: 95.95%, Val Loss: 0.0945, Val Acc: 96.35%
Epoch [18/50], Train Loss: 0.0941, Train Acc: 96.44%, Val Loss: 0.0912, Val Acc: 96.52%
Epoch [19/50], Train Loss: 0.0993, Train Acc: 96.25%, Val Loss: 0.0855, Val Acc: 96.85%
Epoch [20/50], Train Loss: 0.0968, Train Acc: 96.36%, Val Loss: 0.1029, Val Acc: 96.49%
Epoch [21/50], Train Loss: 0.0855, Train Acc: 96.73%, Val Loss: 0.0890, Val Acc: 96.42%
Epoch [22/50], Train Loss: 0.0865, Train Acc: 96.74%, Val Loss: 0.0850, Val Acc: 96.72%
Epoch [23/50], Train Loss: 0.0804, Train Acc: 96.80%, Val Loss: 0.0743, Val Acc: 97.16%
Epoch [24/50], Train Loss: 0.0859, Train Acc: 96.91%, Val Loss: 0.0828, Val Acc: 96.72%
Epoch [25/50], Train Loss: 0.0826, Train Acc: 96.93%, Val Loss: 0.0773, Val Acc: 97.26%
Epoch [26/50], Train Loss: 0.0842, Train Acc: 97.00%, Val Loss: 0.0734, Val Acc: 97.12%
Epoch [27/50], Train Loss: 0.0754, Train Acc: 97.20%, Val Loss: 0.0802, Val Acc: 97.09%
Epoch [28/50], Train Loss: 0.0728, Train Acc: 97.22%, Val Loss: 0.0741, Val Acc: 97.26%
Epoch [29/50], Train Loss: 0.0788, Train Acc: 97.10%, Val Loss: 0.0663, Val Acc: 97.56%
